A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_CDS_PINID!PIN_TERMINATION!PIN_TERM_IDENT!PIN_NET_SHORT!
J!C:/MyWorks/emmiter_new/hard/circuit/project/power/board/power.brd!Thu Oct 10 18:10:53 2013!0.0000!0.0000!300.0000!180.0000!0.0001!millimeters!POWER!28.800000 mil!4!OUT OF DATE!
S!RX+_L!J3!1!@power.schematic1(sch_1):ins2128807@power.\4 header_1.normal\(chips)!4 HEADER_1_PLUG-4_4 HEADER!!!F7!!!!!
S!RX-_L!J3!2!@power.schematic1(sch_1):ins2128807@power.\4 header_1.normal\(chips)!4 HEADER_1_PLUG-4_4 HEADER!!!F7!!!!!
S!TX-_L!J3!3!@power.schematic1(sch_1):ins2128807@power.\4 header_1.normal\(chips)!4 HEADER_1_PLUG-4_4 HEADER!!!F7!!!!!
S!TX+_L!J3!4!@power.schematic1(sch_1):ins2128807@power.\4 header_1.normal\(chips)!4 HEADER_1_PLUG-4_4 HEADER!!!F7!!!!!
S!!J4!33!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!0!J4!34!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!35!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!36!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!37!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!38!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!39!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!4!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!40!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!41!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!42!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!0!J4!43!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!0!J4!44!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!0!J4!45!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!0!J4!46!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!PH2_C_L!J4!47!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!TX+_L!J4!48!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!PH1_C_L!J4!49!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!5V!J4!5!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!TX-_L!J4!50!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!3.3V!J4!51!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!CT1T_L!J4!52!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!0!J4!53!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!CT1R_L!J4!54!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!!J4!55!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
S!RX+_L!J4!56!@power.schematic1(sch_1):ins2108319@connector.\conn socket 32x2.normal\(chips)!CONN SOCKET 32X2_M20-6103245_CO!!!F6!!!!!
